customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C00001,Female,0,Yes,No,14,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,33.06,512.28,No
C00002,Female,1,No,Yes,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),111.26,8073.38,No
C00003,Female,0,Yes,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),56.31,2198.33,No
C00004,Female,0,Yes,No,27,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,90.95,2554.1,No
C00005,Female,0,Yes,Yes,5,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,No,Electronic check,20.03,138.47,No
C00006,Female,0,Yes,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,38.52,222.74,Yes
C00007,Female,0,No,No,1,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),66.71,122.76,No
C00008,Female,1,Yes,No,60,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),105.83,6554.88,No
C00009,Female,0,No,Yes,27,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),70.73,2007.97,No
C00010,Male,0,No,No,36,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Electronic check,110.99,4155.28,No
C00011,Female,0,Yes,No,0,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,66.38,74.7,No
C00012,Male,0,No,Yes,72,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,67.04,4957.56,No
C00013,Female,0,No,Yes,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),29.97,1629.7,No
C00014,Female,0,No,No,7,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,98.27,863.8,Yes
C00015,Female,0,Yes,No,6,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,No,Mailed check,42.7,315.93,No
C00016,Female,0,No,No,6,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),107.96,806.49,No
C00017,Female,0,Yes,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,109.08,1154.16,No
C00018,Male,0,Yes,Yes,22,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Electronic check,112.33,2539.44,No
C00019,Male,0,Yes,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,70.02,1229.97,No
C00020,Female,1,Yes,Yes,10,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Mailed check,85.71,907.96,No
C00021,Female,0,No,Yes,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),95.85,2791.68,No
C00022,Female,0,No,Yes,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.1,139.91,No
C00023,Female,1,No,Yes,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),78.1,908.61,Yes
C00024,Female,0,Yes,Yes,13,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,21.43,283.33,No
C00025,Female,0,No,Yes,18,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,67.76,1332.09,Yes
C00026,Female,0,Yes,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),33.48,1580.44,No
C00027,Male,0,No,No,6,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,36.29,231.31,Yes
C00028,Female,0,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,54.5,1203.58,No
C00029,Female,0,Yes,Yes,26,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,61.24,1626.84,Yes
C00030,Male,1,Yes,No,1,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),80.32,132.28,No
C00031,Male,0,Yes,No,28,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,25.44,730.21,Yes
C00032,Male,0,No,Yes,5,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Electronic check,68.37,350.51,No
